ID	nev	telepules	fizetes
177	Töreki Krisztina	Zalaegerszeg	287031
178	Győri Anna	Dunaújváros	612174
179	Takács Nikolett	Csongrád	313912
180	Molnár Bálint	Kecskemét	585137
181	Elek Lilla	Kaba	310124
182	Ötvös Gabriella	Dunaújváros	325625
183	Töreki István	Mezőkövesd	337882
184	Takács Gábor	Baja	235825
185	Vámos Nándor	Zalakaros	842846
186	Takács Anna	Tokaj	170930
187	Varga Albert	Sopron	173873
188	Szilágyi János	Szeged	272785
189	Galambos Eszter	Hatvan	595592
190	Varga Luca	Csorna	422444
191	Bencsik Viktória	Miskolc	197055
192	Torma Zsuzsanna	Mezőkövesd	756502
193	Gál Kitti	Lenti	392949
194	Torma Ilonka	Kapuvár	260023
195	Bencsik Mariann	Mezőkövesd	188009
196	Farkas Henrietta	Zalaegerszeg	372707
197	Balogh Katalin	Kiskunhalas	585951
198	Győri Kálmán	Kecskemét	535218
199	Hujber Ádám	Pécs	340819
200	Balogh Dániel	Sopron	633823
