ID	szolgaltatoid	ugyfelid	telefonszam	mobilid
270	2	12	707515910	4
271	1	67	308219506	15
272	1	24	205719953	8
273	2	117	304875775	12
274	2	60	202815342	11
275	1	191	709297532	1
276	1	62	705427798	7
277	3	7	708841978	11
278	1	187	205814134	11
279	1	85	701042036	7
280	3	128	309105657	2
281	1	68	205973590	3
282	1	190	303243168	1
283	2	88	307898483	5
284	1	185	705441597	13
285	3	4	705574341	14
286	3	95	202372577	5
287	2	81	705668041	2
288	2	123	701887406	8
289	3	89	306696052	8
290	1	126	701307741	4
291	3	58	304964906	15
292	2	117	209849964	13
293	3	146	207292792	7
294	3	173	708782094	6
295	1	133	208487608	8
296	2	127	306919768	15
297	1	61	702207971	11
298	1	165	701473453	13
299	1	21	705985009	10
300	3	47	303176806	5
