id	nev	lakhely
120	Farkas Dóra	Salgótarján
121	Molnár György	Szeged
122	Farkas Zoltán	Zalakaros
123	Győri Zsolt	Baja
124	Kiss Attila	Ózd
125	Szilágyi Mariann	Baja
126	Magyar Dániel	Baja
127	Németh Helga	Kiskunhalas
128	Fehér Mariann	Makó
129	Kovács Nikolett	Békéscsaba
130	Fekete Tamás	Pápa
131	Kovács Zsófia	Körmend
132	Molnár Mariann	Bük
133	Kocsis Nándor	Hatvan
134	Somos Fanni	Tokaj
135	Takács Gergely	Tata
136	Töreki György	Kiskunhalas
137	Magyar Kitti	Szeged
138	Takács Ilonka	Kapuvár
139	Molnár Máté	Mezőkövesd
140	Sípos Roland	Tatabánya
141	Pataki Lilla	Pápa
142	Gál Bálint	Göd
143	Szabó András	Debrecen
144	Nagy Gábor	Mór
145	Elek Bence	Göd
146	Kiss Ferenc	Csorna
147	Kovács Gabriella	Budapest
148	Nagy Ferenc	Békéscsaba
149	Fekete Lili	Dunaújváros
150	Pataki Klaudia	Sárvár
151	Szabó Dóra	Tokaj
152	Pataki Patrik	Tokaj
153	Fehér Lajos	Debrecen
154	Fehér Viktória	Pápa
155	Kocsis Albert	Csongrád
156	Sípos Alexandra	Dunaújváros
157	Farkas Gabriella	Veszprém
158	Szabó Aladár	Körmend
159	Győri Gyula	Mezőkövesd
160	Kocsis Ádám	Veszprém
161	Szilágyi Kitti	Sárvár
162	Győri Gyula	Kaba
163	Torma Barbara	Sopron
164	Fekete Antal	Szeged
165	Torma Anna	Tokaj
166	Kiss Dániel	Kaposvár
167	Kis Adrienn	Dombóvár
168	Molnár Attila	Szentes
169	Rácz Rudolf	Szentes
170	Ötvös Katalin	Fertőd
171	Somos Bence	Makó
172	Halász Réka	Dombóvár
173	Kis Henrietta	Kapuvár
174	Töreki Patrik	Ajka
175	Tóth Anna	Bük
176	Galambos Zsófia	Csorna
177	Szakács Ilonka	Tatabánya
178	Kovács Nóra	Kaposvár
179	Németh Mariann	Kecskemét
180	Mészáros András	Békéscsaba
181	Gál János	Budapest
182	Molnár Aladár	Miskolc
183	Kiss Balázs	Salgótarján
184	Magyar Máté	Mór
185	Varga György	Csongrád
186	Juhász Balázs	Baja
187	Elek Ádám	Budapest
188	Galambos Lajos	Pécs
189	Pécsi Viktória	Csongrád
190	Fehér Lilla	Bük
191	Magyar Béla	Kőszeg
192	Szakács Petra	Budapest
193	Töreki Zsolt	Lenti
194	Torma Roland	Körmend
195	Tóth Bálint	Békéscsaba
196	Torma Anna	Sárvár
197	Szekeres János	Mór
198	Magyar Mariann	Csongrád
199	Kiss Zsófia	Győr
200	Nagy Anna	Csorna
201	Molnár Dóra	Miskolc
202	Varga Gábor	Tokaj
203	Nagy Barbara	Sárvár
204	Vámos Margit	Csorna
205	Balogh Aladár	Mór
206	Somos Zsolt	Tatabánya
207	Töreki Béla	Debrecen
208	Kiss Nikolett	Győr
209	Kovács Tímea	Ajka
210	Fehér Anna	Körmend
211	Szabó János	Tatabánya
212	Kovács Bence	Ózd
213	Mészáros József	Győr
214	Szilágyi Albert	Sárvár
215	Nagy Lili	Hatvan
216	Takács Lilla	Körmend
217	Győri Anna	Salgótarján
218	Kiss Tamás	Szeged
219	Balogh Dániel	Zalaegerszeg
220	Molnár Rebeka	Kapuvár
221	Németh Bálint	Szeged
222	Kis Anna	Kőszeg
223	Fehér Anna	Szeged
224	Nagy Henrietta	Salgótarján
225	Rácz Petra	Dunaújváros
226	Galambos Klaudia	Kapuvár
227	Mészáros Margit	Csorna
228	Szilágyi Anna	Baja
229	Balogh Rebeka	Győr
230	Elek Anna	Sopron
231	Molnár Bálint	Dombóvár
232	Kis Adrienn	Csorna
233	Győri Attila	Ózd
234	Mészáros Tamás	Fertőd
235	Balogh Gyula	Kaposvár
236	Torma András	Baja
237	Halász Aladár	Salgótarján
238	Fekete Lilla	Lenti
239	Takács Ferenc	Bük
240	Szekeres Viktória	Zalaegerszeg
241	Kocsis Jenő	Makó
242	Győri István	Kőszeg
243	Somos Lajos	Lenti
244	Fekete István	Ajka
245	Pécsi Klaudia	Tata
246	Pataki Margit	Szeged
247	Szilágyi Jenő	Miskolc
248	Kiss János	Kaposvár
249	Varga Kitti	Tokaj
250	Szilágyi Antal	Ajka
