ID	vnev	knev	telepules
247	Tóth	Rebeka	Pápa
248	Varga	Gábor	Tata
249	Kovács	Albert	Salgótarján
250	Szilágyi	Anna	Dunaújváros
251	Szekeres	Lilla	Kapuvár
252	Gál	János	Pécs
253	Szekeres	Bence	Csongrád
254	Somos	Henrietta	Szeged
255	Elek	Antal	Pécs
256	Hujber	Alexandra	Csongrád
257	Szekeres	Kálmán	Mór
258	Németh	Adrienn	Szentes
259	Vámos	Ádám	Göd
260	Elek	Dóri	Kaposvár
261	Pataki	Dóra	Fertőd
262	Kis	Margit	Zalaegerszeg
263	Galambos	Gergely	Tokaj
264	Szekeres	Ádám	Szeged
265	Galambos	Antal	Baja
266	Magyar	Kitti	Csorna
267	Szekeres	Dóri	Zalaegerszeg
268	Varga	Nándor	Kaposvár
269	Molnár	Kitti	Zalakaros
270	Sípos	Gyula	Pécs
271	Töreki	Alexandra	Budapest
272	Fekete	Helga	Kőszeg
273	Győri	Dóri	Tata
274	Halász	Roland	Kőszeg
275	Győri	Gergely	Csongrád
276	Fehér	Attila	Ajka
277	Németh	Nikolett	Miskolc
278	Pataki	Klaudia	Kecskemét
279	Halász	Rebeka	Ajka
280	Kocsis	Gergely	Veszprém
281	Rácz	Krisztina	Zalaegerszeg
282	Töreki	Zsófia	Szeged
283	Hujber	Gábor	Salgótarján
284	Nagy	Roland	Fertőd
285	Elek	Henrietta	Bük
286	Pataki	Tímea	Csorna
287	Mészáros	János	Budapest
288	Ötvös	Béla	Fertőd
289	Nagy	Dóra	Kaba
290	Takács	Viktória	Sopron
291	Tóth	György	Budapest
292	Farkas	Zsófia	Dombóvár
293	Fehér	Zsuzsanna	Kőszeg
294	Torma	Dániel	Szentes
295	Pataki	Tamás	Körmend
296	Halász	András	Zalakaros
297	Molnár	Adrienn	Mezőkövesd
298	Szilágyi	Patrik	Sopron
299	Mészáros	István	Hatvan
300	Töreki	Henrietta	Makó
301	Somos	Tamás	Pécs
302	Fehér	Luca	Mezőkövesd
303	Kis	Eszter	Pécs
304	Balogh	Dániel	Tata
305	Torma	Dóra	Lenti
306	Vámos	Ilonka	Lenti
307	Szakács	Viktória	Csongrád
308	Nagy	Rozi	Tata
309	Kiss	János	Pápa
310	Pataki	Martin	Salgótarján
311	Győri	Nándor	Hatvan
312	Győri	Luca	Csorna
313	Ötvös	Kitti	Ajka
314	Farkas	Ferenc	Miskolc
315	Pataki	Gergely	Tokaj
316	Molnár	Alajos	Békéscsaba
317	Galambos	Luca	Csongrád
318	Bencsik	Martin	Zalaegerszeg
319	Galambos	Máté	Pápa
320	Fekete	Tímea	Debrecen
321	Németh	Jenő	Győr
322	Varga	Bence	Sopron
323	Szekeres	Katalin	Zalakaros
324	Kocsis	Helga	Kőszeg
325	Pécsi	Kálmán	Sárvár
326	Halász	Henrietta	Baja
327	Tóth	Rudolf	Dunaújváros
328	Fehér	Noémi	Dunaújváros
329	Farkas	Petra	Csorna
330	Farkas	Rozi	Tatabánya
331	Magyar	Tamás	Kaposvár
332	Sípos	Aladár	Pápa
333	Fehér	Gyula	Bük
334	Bencsik	András	Debrecen
335	Farkas	Tamás	Baja
336	Magyar	Nóra	Kiskunhalas
337	Fekete	József	Lenti
338	Nagy	Zsuzsanna	Sopron
339	Balogh	Albert	Körmend
340	Balogh	Gyula	Kapuvár
341	Kocsis	Lili	Makó
342	Töreki	Viktória	Pápa
343	Kovács	Zsolt	Kaposvár
344	Takács	Luca	Szeged
345	Molnár	György	Szeged
346	Somos	Nikolett	Mezőkövesd
347	Bencsik	Rebeka	Kaposvár
348	Kocsis	Adrienn	Lenti
349	Varga	Klaudia	Békéscsaba
350	Kovács	Margit	Csorna
351	Szabó	Henrietta	Debrecen
352	Farkas	Béla	Miskolc
353	Halász	István	Makó
354	Nagy	Gergely	Tokaj
355	Varga	Lili	Budapest
356	Pataki	Helga	Mór
357	Szilágyi	Ádám	Csorna
358	Kocsis	Anna	Körmend
359	Torma	Gyula	Zalakaros
360	Nagy	János	Sopron
361	Tóth	Nikolett	Sárvár
362	Farkas	Margit	Csorna
363	Pécsi	Krisztina	Mezőkövesd
364	Halász	Lilla	Kaposvár
365	Galambos	Martin	Körmend
366	Gál	Petra	Göd
367	Nagy	László	Sopron
368	Varga	Alajos	Tokaj
369	Molnár	Eszter	Makó
370	Nagy	Bálint	Miskolc
371	Győri	Krisztina	Lenti
372	Sípos	József	Győr
373	Szekeres	Gábor	Salgótarján
374	Pataki	Kálmán	Veszprém
375	Takács	Rozi	Tatabánya
376	Juhász	Zoltán	Kecskemét
377	Szilágyi	Petra	Mezőkövesd
378	Töreki	Nóra	Kaba
379	Juhász	Máté	Sárvár
380	Győri	Kálmán	Mezőkövesd
381	Kiss	Rebeka	Pápa
382	Hujber	Rudolf	Zalakaros
383	Varga	György	Ózd
384	Torma	Dóra	Veszprém
385	Szilágyi	Gábor	Mezőkövesd
386	Szabó	Anna	Hatvan
387	Molnár	Nikolett	Ózd
388	Bencsik	Gergely	Sárvár
389	Ötvös	Martin	Lenti
390	Takács	Roland	Hatvan
391	Szakács	András	Salgótarján
392	Hujber	Adrienn	Veszprém
393	Nagy	Dóra	Szeged
394	Mészáros	Barbara	Lenti
395	Farkas	Barbara	Debrecen
396	Farkas	Krisztina	Sopron
397	Somos	Jenő	Makó
398	Szabó	Helga	Győr
399	Takács	József	Győr
400	Elek	Nikolett	Tatabánya
401	Magyar	Dániel	Mezőkövesd
402	Molnár	Kálmán	Mór
403	Fekete	Aladár	Sárvár
404	Németh	Noémi	Tokaj
405	Pataki	Attila	Debrecen
406	Halász	Margit	Makó
407	Sípos	Alexandra	Göd
408	Pécsi	Zsolt	Fertőd
409	Mészáros	Lilla	Szeged
410	Pataki	Lilla	Tatabánya
411	Halász	Bence	Békéscsaba
412	Szakács	Zsolt	Mór
413	Bencsik	Lilla	Mezőkövesd
414	Ötvös	Helga	Bük
415	Pécsi	Gergely	Budapest
416	Szakács	Aladár	Kecskemét
417	Hujber	Dániel	Szentes
418	Somos	Tamás	Miskolc
419	Elek	Dóri	Zalakaros
420	Ötvös	Mariann	Szentes
421	Somos	Lili	Körmend
422	Ötvös	Luca	Miskolc
423	Galambos	Bálint	Tatabánya
424	Gál	Martin	Ózd
425	Pataki	Albert	Kőszeg
426	Magyar	Mariann	Kaposvár
427	Somos	Zsófia	Kaba
428	Fekete	Fanni	Tatabánya
429	Magyar	Aladár	Kaposvár
430	Kovács	György	Tatabánya
431	Ötvös	Bence	Kecskemét
432	Ötvös	Gergely	Bük
433	Juhász	Katalin	Csorna
434	Pécsi	Ferenc	Békéscsaba
435	Halász	Kálmán	Miskolc
436	Farkas	Zsófia	Ózd
437	Pataki	Eszter	Hatvan
438	Győri	Tamás	Baja
439	Galambos	Rebeka	Makó
440	Fekete	Eszter	Makó
441	Molnár	Fanni	Győr
442	Somos	Zsófia	Békéscsaba
443	Somos	Dániel	Csongrád
444	Kis	Klaudia	Pécs
445	Molnár	Gabriella	Mezőkövesd
446	Magyar	Tímea	Makó
447	Nagy	Martin	Dunaújváros
448	Varga	Roland	Bük
449	Szakács	Roland	Pápa
450	Halász	Zsolt	Tatabánya
451	Kiss	Gyula	Tokaj
452	Fekete	Henrietta	Debrecen
453	Győri	Zsófia	Zalaegerszeg
454	Szilágyi	Gyula	Salgótarján
455	Magyar	Nándor	Bük
456	Molnár	Zsuzsanna	Salgótarján
457	Kocsis	Zsuzsanna	Csorna
458	Sípos	Attila	Veszprém
459	Szekeres	Mariann	Miskolc
460	Hujber	János	Veszprém
461	Sípos	Aladár	Miskolc
462	Halász	Tamás	Bük
463	Kovács	Réka	Tata
464	Győri	Patrik	Tata
465	Szabó	Lilla	Kőszeg
466	Tóth	Lajos	Mór
467	Elek	Gábor	Kapuvár
468	Rácz	Lili	Kiskunhalas
469	Hujber	Patrik	Pápa
470	Rácz	Katalin	Dunaújváros
471	Juhász	Réka	Szeged
472	Töreki	Ádám	Lenti
473	Győri	Luca	Dunaújváros
474	Kiss	Réka	Ajka
475	Elek	Ádám	Kapuvár
476	Torma	Ilonka	Mór
477	Hujber	Antal	Pécs
478	Mészáros	József	Dunaújváros
479	Töreki	Nándor	Mór
480	Pataki	Lilla	Fertőd
481	Kis	Lilla	Tatabánya
482	Szekeres	Béla	Makó
483	Kiss	Zsolt	Veszprém
484	Balogh	Roland	Ajka
485	Szakács	Alexandra	Pécs
486	Vámos	Mariann	Veszprém
487	Kovács	Fanni	Sopron
488	Farkas	Gabriella	Lenti
489	Fekete	Barbara	Makó
490	Győri	Eszter	Sárvár
491	Németh	Barbara	Baja
492	Elek	Attila	Bük
493	Győri	Anna	Salgótarján
494	Töreki	György	Ajka
495	Szakács	Luca	Szeged
496	Gál	Barbara	Mór
497	Molnár	Adrienn	Kőszeg
498	Juhász	Barbara	Pápa
499	Töreki	Gergely	Ajka
500	Balogh	Mariann	Veszprém
501	Gál	Lilla	Ajka
502	Bencsik	Fanni	Debrecen
503	Varga	Henrietta	Kőszeg
504	Pécsi	Roland	Salgótarján
505	Rácz	Noémi	Baja
506	Varga	György	Göd
507	Halász	Tamás	Debrecen
508	Magyar	Zsuzsanna	Zalakaros
509	Varga	Dóri	Baja
510	Kis	János	Budapest
511	Torma	Antal	Mór
512	Takács	Rudolf	Salgótarján
513	Kis	József	Sopron
514	Molnár	István	Makó
515	Balogh	Krisztina	Tata
516	Molnár	András	Kecskemét
517	Kovács	Nóra	Pécs
518	Juhász	Kálmán	Pécs
519	Ötvös	Viktória	Salgótarján
520	Szilágyi	Ferenc	Zalakaros
521	Juhász	Mariann	Kaba
522	Balogh	Nándor	Dombóvár
523	Balogh	Petra	Pécs
524	Varga	Tamás	Tokaj
525	Pataki	Gábor	Békéscsaba
526	Pécsi	Antal	Mezőkövesd
527	Juhász	Albert	Mezőkövesd
528	Pataki	Alajos	Makó
529	Kocsis	Dóra	Ajka
530	Fekete	Zsuzsanna	Veszprém
531	Varga	Henrietta	Kecskemét
532	Gál	Fanni	Szentes
533	Elek	Henrietta	Debrecen
534	Szakács	Zsuzsanna	Kőszeg
535	Bencsik	Dániel	Fertőd
536	Szakács	Gyula	Bük
537	Tóth	Martin	Kaba
538	Torma	Zsuzsanna	Veszprém
539	Gál	Noémi	Bük
540	Bencsik	Fanni	Kecskemét
541	Győri	Gergely	Tokaj
542	Vámos	Kálmán	Hatvan
543	Szilágyi	Jenő	Bük
544	Szakács	Dániel	Makó
545	Balogh	Alexandra	Fertőd
546	Magyar	Rebeka	Hatvan
547	Elek	Barbara	Mezőkövesd
548	Fehér	Réka	Tata
549	Kovács	Kálmán	Sopron
550	Torma	Barbara	Fertőd
551	Kocsis	Gergely	Csongrád
552	Varga	János	Kőszeg
553	Ötvös	Zsuzsanna	Tata
554	Fekete	Attila	Ajka
555	Somos	Ferenc	Mór
556	Kovács	Dóri	Pécs
557	Szakács	Lajos	Kecskemét
558	Kis	Tímea	Göd
559	Kiss	Eszter	Fertőd
560	Sípos	Aladár	Sárvár
561	Torma	Anna	Pécs
562	Kovács	Dóri	Kecskemét
563	Hujber	Gergely	Tatabánya
564	Nagy	Anna	Tokaj
565	Farkas	Bálint	Dombóvár
566	Varga	Luca	Budapest
567	Rácz	Ádám	Kaposvár
568	Nagy	Kálmán	Sárvár
569	Juhász	Klaudia	Pápa
570	Magyar	Helga	Ózd
571	Szakács	Adrienn	Fertőd
572	Mészáros	Bence	Kiskunhalas
573	Magyar	Viktória	Szeged
574	Nagy	Ilonka	Bük
575	Hujber	Dóra	Körmend
576	Németh	György	Körmend
577	Kiss	Zsolt	Kapuvár
578	Kiss	György	Bük
579	Kiss	András	Debrecen
580	Torma	Máté	Mór
581	Halász	Attila	Körmend
582	Kis	Dániel	Ajka
583	Sípos	János	Sopron
584	Tóth	Kitti	Ózd
585	Töreki	Luca	Baja
586	Varga	Rebeka	Pápa
587	Sípos	Martin	Lenti
588	Kocsis	Béla	Kecskemét
589	Töreki	Lilla	Pécs
590	Sípos	Adrienn	Fertőd
591	Farkas	Barbara	Mór
592	Fehér	Henrietta	Budapest
593	Hujber	Martin	Miskolc
594	Pécsi	Albert	Hatvan
595	Halász	Aladár	Zalakaros
596	Elek	László	Lenti
597	Szabó	Attila	Budapest
598	Szabó	Patrik	Tata
599	Fehér	Dóri	Sopron
600	Töreki	Gábor	Zalaegerszeg
601	Sípos	Zoltán	Pécs
602	Töreki	Ádám	Zalaegerszeg
603	Fekete	Gyula	Kapuvár
604	Rácz	Henrietta	Tatabánya
605	Hujber	Albert	Dunaújváros
606	Mészáros	Dóri	Kiskunhalas
607	Németh	Máté	Ózd
608	Magyar	Rudolf	Szeged
609	Takács	Eszter	Tokaj
610	Hujber	Luca	Dunaújváros
611	Fekete	László	Baja
612	Halász	Jenő	Kőszeg
613	Tóth	Albert	Bük
614	Hujber	Lilla	Göd
615	Németh	Krisztina	Salgótarján
616	Takács	Margit	Bük
617	Németh	Ferenc	Göd
618	Kiss	Tamás	Göd
619	Szabó	György	Tata
620	Kiss	Alexandra	Mezőkövesd
621	Balogh	Zsuzsanna	Sopron
622	Mészáros	Tamás	Hatvan
623	Varga	Nóra	Sárvár
624	Szabó	Aladár	Békéscsaba
625	Halász	Alajos	Bük
626	Bencsik	Ferenc	Pécs
627	Juhász	Katalin	Mór
628	Kovács	Krisztina	Pápa
629	Juhász	Gergely	Kaba
630	Szakács	Viktória	Pécs
631	Halász	Zsuzsanna	Szentes
632	Hujber	Bálint	Miskolc
633	Töreki	Fanni	Salgótarján
634	Vámos	Ferenc	Tata
635	Balogh	Katalin	Ajka
636	Elek	Nándor	Baja
637	Győri	Ilonka	Kiskunhalas
638	Rácz	Dóri	Kiskunhalas
639	Varga	Balázs	Tatabánya
640	Torma	Patrik	Csorna
641	Szilágyi	Lajos	Dunaújváros
642	Takács	Bence	Győr
643	Szakács	Fanni	Salgótarján
644	Kovács	Zsuzsanna	Mór
645	Takács	Albert	Körmend
646	Vámos	Barbara	Hatvan
647	Kiss	Máté	Kecskemét
648	Tóth	Mariann	Tata
649	Szakács	Dóri	Mezőkövesd
650	Fehér	Mariann	Kaba
