id	nev	kezdeseve	vegzeseve
85	Farkas Béla	2003	2007
86	Gál Aladár	2018	2022
87	Vámos Zsófia	2008	2012
88	Szabó László	2014	2018
89	Takács Béla	2003	2007
90	Juhász Rebeka	2018	2022
91	Ötvös Patrik	2017	2021
92	Szekeres András	2017	2021
93	Kocsis Mariann	2016	2020
94	Kocsis Roland	2013	2017
95	Molnár Barbara	2005	2009
96	Pécsi Bence	2010	2014
97	Juhász Zsófia	2019	2023
98	Halász Ilonka	2011	2015
99	Szekeres Alexandra	2009	2013
100	Németh István	2019	2023
101	Gál János	2020	NULL
102	Kovács Lilla	2011	2015
103	Kiss Kálmán	2007	2011
104	Torma Margit	2015	2019
105	Kis Bence	2021	NULL
106	Töreki Tamás	2010	2014
107	Halász Luca	2011	2015
108	Ötvös Alexandra	2011	2015
109	Bencsik Lajos	2006	2010
110	Torma Balázs	2011	2015
111	Kis Tímea	2016	2020
112	Szilágyi Alexandra	2021	NULL
113	Torma Tímea	2005	2009
114	Varga Rudolf	2022	NULL
115	Tóth Rozi	2021	NULL
116	Pataki Rudolf	2017	2021
117	Mészáros Zoltán	2013	2017
118	Bencsik Martin	2019	2023
119	Töreki Margit	2010	2014
120	Németh Réka	2011	2015
121	Pataki Klaudia	2022	NULL
122	Juhász Lajos	2012	2016
123	Szilágyi Réka	2000	2004
124	Németh Jenő	2013	2017
125	Rácz Dóra	2014	2018
126	Somos Zoltán	2005	2009
127	Szabó János	2007	2011
128	Szilágyi Tamás	2012	2016
129	Nagy Krisztina	2009	2013
130	Mészáros Zsolt	2021	NULL
131	Nagy Fanni	2019	2023
132	Töreki Klaudia	2016	2020
133	Hujber Máté	2016	2020
134	Ötvös Helga	2010	2014
135	Molnár Klaudia	2003	2007
136	Galambos Barbara	2018	2022
137	Tóth Bence	2015	2019
138	Somos Eszter	2022	NULL
139	Szekeres Jenő	2017	2021
140	Takács Ilonka	2016	2020
141	Kovács Nikolett	2013	2017
142	Kovács Henrietta	2019	2023
143	Németh Zsolt	2018	2022
144	Szakács Krisztina	2009	2013
145	Kiss Rudolf	2015	2019
146	Somos János	2013	2017
147	Győri Zoltán	2004	2008
148	Mészáros Albert	2010	2014
149	Fehér Dániel	2017	2021
150	Győri Nóra	2018	2022
151	Bencsik Gyula	2012	2016
152	Torma Gabriella	2000	2004
153	Ötvös Zsolt	2018	2022
154	Kis Ilonka	2018	2022
155	Fekete Mariann	2020	NULL
156	Mészáros Nándor	2002	2006
157	Molnár Ferenc	2014	2018
158	Molnár Alexandra	2011	2015
159	Rácz Rudolf	2022	NULL
160	Somos Bence	2018	2022
161	Kis Katalin	2017	2021
162	Szilágyi Ádám	2001	2005
163	Elek Rudolf	2012	2016
164	Németh Viktória	2020	NULL
165	Pécsi Bálint	2000	2004
166	Kis Zsófia	2017	2021
167	Varga Attila	2020	NULL
168	Kocsis Martin	2014	2018
169	Pataki András	2005	2009
170	Mészáros József	2015	2019
171	Ötvös Nikolett	2010	2014
172	Torma Roland	2008	2012
173	Molnár Rozi	2012	2016
174	Töreki Gergely	2020	NULL
175	Juhász Krisztina	2014	2018
176	Molnár Krisztina	2022	NULL
177	Ötvös Béla	2011	2015
178	Kocsis Henrietta	2007	2011
179	Sípos Lajos	2001	2005
180	Magyar Roland	2020	NULL
181	Molnár Dóra	2009	2013
182	Tóth Réka	2013	2017
183	Pécsi Gergely	2004	2008
184	Juhász Attila	2016	2020
185	Takács Rudolf	2007	2011
186	Tóth Fanni	2013	2017
187	Kis Henrietta	2001	2005
188	Somos István	2015	2019
189	Bencsik Aladár	2000	2004
190	Nagy Lajos	2011	2015
191	Gál Luca	2000	2004
192	Juhász Béla	2003	2007
193	Szakács Aladár	2018	2022
194	Kis Viktória	2007	2011
195	Kiss Anna	2002	2006
196	Szabó József	2004	2008
197	Fehér Henrietta	2022	NULL
198	Győri Zsófia	2000	2004
199	Takács Máté	2010	2014
200	Halász Tímea	2001	2005
201	Kis József	2018	2022
202	Szekeres Bence	2011	2015
203	Németh Nóra	2017	2021
204	Halász Gergely	2011	2015
205	Szabó Antal	2012	2016
206	Elek Gergely	2017	2021
207	Töreki Alajos	2017	2021
208	Fekete István	2013	2017
209	Szekeres András	2017	2021
210	Somos László	2008	2012
211	Sípos Attila	2019	2023
212	Kis Martin	2011	2015
213	Szilágyi Gabriella	2012	2016
214	Hujber Gergely	2019	2023
215	Töreki Dóra	2008	2012
216	Rácz Helga	2006	2010
217	Juhász Katalin	2009	2013
218	Balogh Réka	2015	2019
219	Torma Zoltán	2001	2005
220	Elek Roland	2009	2013
221	Gál András	2012	2016
222	Torma Zsolt	2002	2006
223	Németh Albert	2013	2017
224	Hujber Mariann	2022	NULL
225	Győri Zsuzsanna	2020	NULL
226	Szabó Ferenc	2015	2019
227	Pataki Ilonka	2000	2004
228	Balogh Attila	2006	2010
229	Szilágyi László	2015	2019
230	Vámos Roland	2003	2007
231	Gál Alexandra	2011	2015
232	Szekeres Fanni	2019	2023
233	Fekete Ádám	2017	2021
234	Ötvös Réka	2019	2023
235	Rácz Eszter	2011	2015
236	Németh Bence	2020	NULL
237	Magyar György	2007	2011
238	Balogh Viktória	2007	2011
239	Szilágyi Dániel	2014	2018
240	Pécsi Réka	2020	NULL
241	Rácz Katalin	2010	2014
242	Szabó Katalin	2018	2022
243	Tóth Margit	2014	2018
244	Ötvös Klaudia	2003	2007
245	Balogh Réka	2011	2015
246	Töreki Alajos	2007	2011
247	Farkas Alexandra	2021	NULL
248	Pataki Aladár	2017	2021
249	Farkas Lili	2004	2008
250	Torma Rebeka	2021	NULL
251	Szekeres Fanni	2012	2016
252	Rácz István	2022	NULL
253	Bencsik Anna	2013	2017
254	Tóth Lili	2008	2012
255	Magyar Patrik	2018	2022
256	Pataki Lili	2002	2006
257	Elek Gábor	2008	2012
258	Elek Luca	2004	2008
259	Mészáros Gábor	2001	2005
260	Molnár Kálmán	2011	2015
261	Farkas Gyula	2009	2013
262	Németh Rudolf	2020	NULL
263	Hujber Margit	2019	2023
264	Magyar Eszter	2019	2023
265	Kovács Kálmán	2005	2009
266	Magyar Martin	2014	2018
267	Molnár Patrik	2007	2011
268	Takács László	2013	2017
269	Szilágyi Lajos	2020	NULL
270	Szekeres Gabriella	2016	2020
271	Sípos Nikolett	2022	NULL
272	Varga Noémi	2003	2007
273	Pécsi Gyula	2010	2014
274	Szekeres Antal	2018	2022
275	Balogh Luca	2008	2012
276	Szekeres András	2016	2020
277	Balogh Eszter	2011	2015
278	Gál Ilonka	2007	2011
279	Vámos Zsolt	2014	2018
280	Farkas Dániel	2013	2017
281	Szilágyi Kálmán	2000	2004
282	Molnár Klaudia	2020	NULL
283	Hujber Luca	2011	2015
284	Kis József	2007	2011
285	Gál Eszter	2000	2004
286	Farkas Nóra	2014	2018
287	Töreki Gergely	2016	2020
288	Fehér Ilonka	2002	2006
289	Kiss Viktória	2014	2018
290	Kiss Gabriella	2020	NULL
291	Ötvös Zsófia	2022	NULL
292	Hujber Krisztina	2014	2018
293	Szilágyi Zsófia	2017	2021
294	Kiss Zsuzsanna	2017	2021
295	Varga Roland	2008	2012
296	Pécsi András	2009	2013
297	Szekeres Adrienn	2016	2020
298	Töreki Rebeka	2021	NULL
299	Kocsis Gergely	2000	2004
300	Fehér Barbara	2011	2015
301	Juhász Gergely	2007	2011
302	Töreki Roland	2016	2020
303	Elek Balázs	2010	2014
304	Kovács Aladár	2008	2012
305	Vámos Viktória	2009	2013
306	Farkas József	2015	2019
307	Kovács Lajos	2012	2016
308	Kiss György	2013	2017
309	Németh Rudolf	2004	2008
310	Nagy Fanni	2000	2004
311	Galambos Roland	2011	2015
312	Pécsi Alexandra	2021	NULL
313	Fehér Fanni	2003	2007
314	Halász György	2003	2007
315	Somos Barbara	2008	2012
316	Elek Tamás	2002	2006
317	Kiss Tamás	2014	2018
318	Sípos Zoltán	2008	2012
319	Kis Ilonka	2009	2013
320	Magyar Tímea	2014	2018
321	Nagy János	2016	2020
322	Szabó Dániel	2022	NULL
323	Takács Rudolf	2006	2010
324	Kis Kitti	2011	2015
325	Magyar Adrienn	2007	2011
326	Kocsis Barbara	2016	2020
327	Sípos Alajos	2002	2006
328	Kocsis Luca	2001	2005
329	Kovács Henrietta	2001	2005
330	Szekeres Petra	2019	2023
331	Pataki Bence	2015	2019
332	Hujber Martin	2001	2005
333	Töreki Bálint	2012	2016
334	Rácz Helga	2014	2018
335	Mészáros Adrienn	2017	2021
336	Vámos Zsolt	2004	2008
337	Rácz Krisztina	2000	2004
338	Nagy Dániel	2003	2007
339	Németh Zsófia	2017	2021
340	Tóth Barbara	2001	2005
341	Pécsi Luca	2008	2012
342	Szabó Dóri	2015	2019
343	Vámos Aladár	2000	2004
344	Győri Dóra	2001	2005
345	Fehér Zsolt	2000	2004
346	Nagy Dóri	2022	NULL
347	Rácz Gábor	2013	2017
348	Takács Noémi	2022	NULL
349	Pataki Zoltán	2009	2013
350	Galambos Ilonka	2016	2020
351	Magyar Lajos	2018	2022
352	Kovács Ilonka	2020	NULL
353	Szekeres Dániel	2019	2023
354	Szakács Ádám	2021	NULL
355	Takács Mariann	2004	2008
356	Pécsi Máté	2020	NULL
357	Varga Dóri	2016	2020
358	Kocsis Zsófia	2013	2017
359	Szilágyi Klaudia	2001	2005
360	Kis Bence	2014	2018
361	Vámos László	2007	2011
362	Szakács Máté	2021	NULL
363	Kovács Krisztina	2001	2005
364	Szakács Alexandra	2002	2006
365	Vámos Antal	2010	2014
366	Kovács Aladár	2003	2007
367	Szekeres Gergely	2001	2005
368	Németh Réka	2017	2021
369	Varga Zsolt	2008	2012
370	Balogh Mariann	2018	2022
371	Mészáros Lajos	2001	2005
372	Mészáros Zoltán	2005	2009
373	Ötvös Helga	2018	2022
374	Farkas Mariann	2002	2006
375	Töreki Henrietta	2009	2013
376	Rácz Kitti	2014	2018
377	Bencsik Balázs	2012	2016
378	Halász Henrietta	2009	2013
379	Rácz Rudolf	2019	2023
380	Sípos Mariann	2004	2008
381	Pataki Ferenc	2011	2015
382	Farkas Anna	2021	NULL
383	Szilágyi Roland	2009	2013
384	Kiss József	2000	2004
385	Halász László	2001	2005
386	Farkas Margit	2022	NULL
387	Töreki Kitti	2015	2019
388	Kovács Rebeka	2007	2011
389	Szekeres Jenő	2011	2015
390	Fehér Nikolett	2006	2010
391	Németh Dóra	2015	2019
392	Fekete Anna	2017	2021
393	Németh Helga	2016	2020
394	Sípos Martin	2015	2019
395	Kiss Katalin	2005	2009
396	Elek Barbara	2015	2019
397	Torma Ferenc	2020	NULL
398	Fehér Henrietta	2015	2019
399	Sípos Mariann	2022	NULL
400	Elek Lili	2005	2009
401	Németh Mariann	2002	2006
402	Molnár Roland	2014	2018
403	Szakács Béla	2020	NULL
404	Bencsik Rudolf	2017	2021
405	Győri Lajos	2014	2018
406	Kovács Nándor	2007	2011
407	Kis Fanni	2002	2006
408	Molnár István	2001	2005
409	Fekete Kálmán	2022	NULL
410	Molnár Henrietta	2016	2020
411	Szekeres Krisztina	2006	2010
412	Szekeres Margit	2019	2023
413	Vámos Luca	2016	2020
414	Pataki Alajos	2012	2016
415	Takács Balázs	2007	2011
416	Pataki Rudolf	2011	2015
417	Töreki Máté	2020	NULL
418	Somos Dániel	2019	2023
419	Balogh Ilonka	2020	NULL
420	Molnár Nikolett	2003	2007
421	Galambos Eszter	2010	2014
422	Kocsis Zoltán	2000	2004
423	Kovács Lajos	2021	NULL
424	Varga János	2006	2010
425	Tóth Máté	2000	2004
426	Mészáros Bálint	2008	2012
427	Bencsik Adrienn	2006	2010
428	Hujber Patrik	2000	2004
429	Torma Gábor	2001	2005
430	Sípos Ilonka	2007	2011
431	Rácz Zsófia	2002	2006
432	Fekete András	2017	2021
433	Mészáros György	2020	NULL
434	Kis Lilla	2006	2010
435	Szilágyi Bálint	2018	2022
436	Tóth Ferenc	2016	2020
437	Németh Bence	2018	2022
438	Gál Alexandra	2011	2015
439	Ötvös Albert	2015	2019
440	Hujber Fanni	2005	2009
441	Kovács Gábor	2021	NULL
442	Kiss Ilonka	2003	2007
443	Somos Tímea	2016	2020
444	Fehér Attila	2005	2009
445	Győri Dóri	2003	2007
446	Galambos Gyula	2022	NULL
447	Magyar Fanni	2006	2010
448	Sípos József	2000	2004
449	Szekeres Attila	2007	2011
450	Szilágyi József	2020	NULL
451	Bencsik Béla	2011	2015
452	Kis Lajos	2018	2022
453	Kiss Réka	2008	2012
454	Balogh Nikolett	2021	NULL
455	Pécsi Gergely	2020	NULL
456	Bencsik Bence	2019	2023
457	Balogh Ferenc	2005	2009
458	Hujber András	2022	NULL
459	Tóth Zsuzsanna	2012	2016
460	Balogh János	2005	2009
461	Tóth Attila	2006	2010
462	Kis György	2009	2013
463	Szakács Dániel	2002	2006
464	Rácz Lajos	2012	2016
465	Kovács Kálmán	2003	2007
466	Pataki Gábor	2020	NULL
467	Somos Ádám	2015	2019
468	Galambos Dóri	2008	2012
469	Molnár Dániel	2013	2017
470	Vámos György	2019	2023
471	Kovács Dániel	2022	NULL
472	Galambos Petra	2007	2011
473	Németh Helga	2016	2020
474	Győri Alajos	2015	2019
475	Juhász Gabriella	2018	2022
476	Töreki Noémi	2016	2020
477	Szabó Roland	2002	2006
478	Magyar Roland	2015	2019
479	Sípos Martin	2002	2006
480	Takács Gábor	2014	2018
481	Szabó István	2021	NULL
482	Varga Zsófia	2012	2016
483	Szakács András	2000	2004
484	Galambos Alexandra	2001	2005
485	Pécsi Klaudia	2007	2011
486	Kiss Lajos	2020	NULL
487	Fekete Helga	2003	2007
488	Kis Barbara	2018	2022
489	Elek Tímea	2008	2012
490	Takács Máté	2012	2016
491	Gál Gyula	2012	2016
492	Németh Lili	2004	2008
493	Pécsi Alajos	2006	2010
494	Torma Tímea	2014	2018
495	Fekete Balázs	2013	2017
496	Rácz Mariann	2019	2023
497	Szilágyi Patrik	2009	2013
498	Mészáros András	2022	NULL
499	Szekeres Béla	2005	2009
500	Kocsis László	2007	2011
501	Szekeres Ilonka	2021	NULL
502	Balogh Tamás	2014	2018
503	Juhász Réka	2017	2021
504	Sípos Lili	2014	2018
505	Takács Tamás	2010	2014
506	Szekeres Béla	2004	2008
507	Galambos Roland	2011	2015
508	Elek Zoltán	2004	2008
509	Töreki István	2021	NULL
510	Szakács Gergely	2020	NULL
511	Nagy Lili	2015	2019
512	Elek Bence	2002	2006
513	Balogh Gergely	2016	2020
514	Szilágyi Luca	2000	2004
515	Kis Nándor	2017	2021
516	Nagy Antal	2021	NULL
517	Farkas Fanni	2010	2014
518	Elek Helga	2022	NULL
519	Németh Jenő	2004	2008
520	Fehér Antal	2014	2018
521	Tóth Béla	2009	2013
522	Fehér Lajos	2009	2013
523	Varga Nándor	2020	NULL
524	Rácz Helga	2017	2021
525	Kovács Jenő	2015	2019
526	Halász Fanni	2007	2011
527	Kis Viktória	2017	2021
528	Tóth Noémi	2019	2023
529	Pécsi Rozi	2011	2015
530	Mészáros Gergely	2020	NULL
531	Rácz Zsolt	2020	NULL
532	Tóth Barbara	2000	2004
533	Torma Attila	2003	2007
534	Kocsis Luca	2004	2008
535	Sípos Petra	2021	NULL
536	Németh Antal	2013	2017
537	Szabó Adrienn	2008	2012
538	Bencsik Béla	2002	2006
539	Kiss Adrienn	2017	2021
540	Sípos Attila	2005	2009
541	Hujber Kitti	2010	2014
542	Nagy István	2006	2010
543	Pataki Patrik	2005	2009
544	Galambos Petra	2016	2020
545	Torma Dóra	2004	2008
546	Sípos Adrienn	2002	2006
547	Mészáros Barbara	2001	2005
548	Győri Bence	2018	2022
549	Pataki Rozi	2019	2023
550	Halász Máté	2021	NULL
551	Töreki Antal	2014	2018
552	Magyar András	2006	2010
553	Ötvös Béla	2022	NULL
554	Fehér Aladár	2010	2014
555	Elek Noémi	2005	2009
556	Tóth Zoltán	2019	2023
557	Magyar Gyula	2019	2023
558	Pataki Ádám	2009	2013
559	Balogh Petra	2019	2023
560	Magyar Aladár	2019	2023
561	Elek Ferenc	2006	2010
562	Kiss Dániel	2010	2014
563	Kis Rudolf	2010	2014
564	Somos Lili	2004	2008
565	Sípos Kitti	2001	2005
566	Galambos Gergely	2009	2013
567	Fekete László	2003	2007
568	Kocsis Rozi	2007	2011
569	Németh Dóra	2011	2015
570	Kiss Gyula	2007	2011
571	Elek Mariann	2014	2018
572	Töreki Zsófia	2015	2019
573	Kis Eszter	2008	2012
574	Fekete Lilla	2010	2014
575	Győri Béla	2006	2010
576	Töreki Petra	2019	2023
577	Magyar Gyula	2000	2004
578	Győri Katalin	2022	NULL
579	Elek Bálint	2021	NULL
580	Somos Tamás	2010	2014
581	Bencsik Lili	2022	NULL
582	Fekete Gyula	2012	2016
583	Molnár Tamás	2022	NULL
584	Takács Luca	2013	2017
585	Bencsik Petra	2005	2009
586	Tóth Réka	2022	NULL
587	Szilágyi Mariann	2022	NULL
588	Szabó Krisztina	2016	2020
589	Tóth Albert	2014	2018
590	Varga Alajos	2013	2017
591	Nagy István	2016	2020
592	Győri Kálmán	2006	2010
593	Nagy Nikolett	2012	2016
594	Magyar Kálmán	2020	NULL
595	Pataki Petra	2014	2018
596	Szakács János	2020	NULL
597	Halász Viktória	2019	2023
598	Galambos József	2004	2008
599	Fehér Zsófia	2003	2007
600	Varga Aladár	2011	2015
601	Németh Gyula	2019	2023
602	Gál Roland	2015	2019
603	Gál József	2009	2013
604	Töreki Aladár	2017	2021
605	Kovács Zsolt	2021	NULL
606	Fehér Helga	2019	2023
607	Halász Gabriella	2005	2009
608	Szabó Ferenc	2021	NULL
609	Elek Petra	2020	NULL
610	Balogh Gyula	2000	2004
611	Hujber Nándor	2008	2012
612	Szakács Margit	2009	2013
613	Németh Katalin	2018	2022
614	Fekete Krisztina	2003	2007
615	Gál Tímea	2011	2015
616	Hujber Gabriella	2022	NULL
617	Nagy Roland	2017	2021
618	Pataki János	2001	2005
619	Halász Adrienn	2005	2009
620	Sípos Patrik	2013	2017
621	Gál András	2022	NULL
622	Elek Alajos	2005	2009
623	Molnár Ádám	2005	2009
624	Kovács Attila	2021	NULL
625	Balogh Lajos	2019	2023
626	Szabó Rebeka	2018	2022
627	Halász Jenő	2010	2014
628	Szabó András	2015	2019
629	Fehér László	2001	2005
630	Kocsis Kitti	2003	2007
631	Pécsi Gergely	2009	2013
632	Molnár István	2012	2016
633	Kovács Lajos	2000	2004
634	Szilágyi Eszter	2005	2009
635	Somos József	2013	2017
636	Szabó Tamás	2018	2022
637	Galambos János	2006	2010
638	Szabó Dóri	2008	2012
639	Torma Réka	2014	2018
640	Hujber Patrik	2022	NULL
641	Bencsik Kitti	2011	2015
642	Vámos Zsuzsanna	2015	2019
643	Győri Petra	2002	2006
644	Pataki Ádám	2009	2013
645	Szekeres Helga	2021	NULL
646	Balogh Kálmán	2003	2007
647	Hujber Tamás	2022	NULL
648	Ötvös Rebeka	2000	2004
649	Kovács Nóra	2000	2004
650	Kis Bálint	2000	2004
651	Elek Balázs	2010	2014
652	Takács Krisztina	2018	2022
653	Kocsis Klaudia	2010	2014
654	Vámos Krisztina	2013	2017
655	Balogh Henrietta	2004	2008
656	Szabó Noémi	2004	2008
657	Somos Mariann	2001	2005
658	Kocsis Rozi	2017	2021
659	Mészáros Kitti	2021	NULL
660	Magyar Jenő	2003	2007
661	Kiss Luca	2008	2012
662	Pataki Lili	2005	2009
663	Somos György	2015	2019
664	Szabó Lilla	2020	NULL
665	Rácz Klaudia	2019	2023
666	Mészáros Viktória	2008	2012
667	Kovács Patrik	2009	2013
668	Sípos Martin	2015	2019
669	Magyar Petra	2020	NULL
670	Szilágyi Viktória	2019	2023
671	Varga Ilonka	2013	2017
672	Elek Antal	2022	NULL
673	Pécsi Ferenc	2003	2007
674	Pécsi Gábor	2015	2019
675	Juhász Ferenc	2004	2008
676	Ötvös Kálmán	2011	2015
677	Galambos Noémi	2005	2009
678	Kis Patrik	2003	2007
679	Takács Alajos	2012	2016
680	Halász Rebeka	2003	2007
681	Halász Viktória	2017	2021
682	Tóth Bence	2010	2014
683	Halász Máté	2017	2021
684	Töreki Rebeka	2002	2006
685	Sípos Tímea	2008	2012
686	Rácz Fanni	2010	2014
687	Ötvös Nándor	2014	2018
688	Sípos Tímea	2014	2018
689	Tóth Petra	2021	NULL
690	Takács Antal	2022	NULL
691	Juhász Ilonka	2001	2005
692	Mészáros Anna	2017	2021
693	Gál Antal	2007	2011
694	Kiss Zsófia	2000	2004
695	Torma Albert	2017	2021
696	Fekete Ádám	2012	2016
697	Töreki Zsolt	2018	2022
698	Elek Rozi	2014	2018
699	Torma Mariann	2013	2017
700	Szabó Petra	2009	2013
701	Gál Máté	2001	2005
702	Fekete Krisztina	2016	2020
703	Halász Antal	2004	2008
704	Hujber Zoltán	2003	2007
705	Molnár Bálint	2016	2020
706	Takács Rebeka	2010	2014
707	Szakács Eszter	2014	2018
708	Rácz Patrik	2010	2014
709	Kocsis Nikolett	2008	2012
710	Magyar György	2010	2014
711	Németh Eszter	2002	2006
712	Fekete Martin	2019	2023
713	Kovács Bálint	2010	2014
714	Németh Zsolt	2021	NULL
715	Takács Zsuzsanna	2013	2017
716	Balogh Petra	2004	2008
717	Fekete Attila	2021	NULL
718	Nagy Gergely	2016	2020
719	Juhász Fanni	2021	NULL
720	Fekete Ádám	2019	2023
721	Sípos Barbara	2004	2008
722	Szilágyi Rozi	2021	NULL
723	Varga Albert	2015	2019
724	Ötvös Ilonka	2004	2008
725	Pécsi Aladár	2003	2007
726	Galambos Helga	2021	NULL
727	Hujber Zoltán	2004	2008
728	Fehér Klaudia	2021	NULL
729	Fehér Patrik	2012	2016
730	Győri Fanni	2017	2021
731	Elek Rudolf	2012	2016
732	Szakács Gergely	2009	2013
733	Sípos Zsolt	2005	2009
734	Balogh Mariann	2000	2004
735	Szakács Tímea	2020	NULL
736	Farkas Ádám	2017	2021
737	Győri Rebeka	2002	2006
738	Juhász Luca	2003	2007
739	Varga Tímea	2011	2015
740	Somos György	2007	2011
741	Elek Margit	2007	2011
742	Varga Bence	2020	NULL
743	Gál Gyula	2015	2019
744	Juhász László	2020	NULL
745	Magyar Tímea	2007	2011
746	Szakács Réka	2010	2014
747	Kiss Antal	2014	2018
748	Somos László	2013	2017
749	Pécsi Máté	2007	2011
750	Somos Eszter	2021	NULL
751	Varga Gyula	2000	2004
752	Farkas Noémi	2002	2006
753	Szakács Lilla	2003	2007
754	Kocsis Anna	2001	2005
755	Szabó Tamás	2013	2017
756	Fekete Adrienn	2002	2006
757	Kovács Bálint	2005	2009
758	Hujber Zsolt	2002	2006
759	Pécsi Petra	2017	2021
760	Takács Kálmán	2010	2014
761	Ötvös Nándor	2021	NULL
762	Ötvös Réka	2001	2005
763	Fekete Petra	2016	2020
764	Takács Gabriella	2003	2007
765	Rácz Krisztina	2001	2005
766	Varga Klaudia	2016	2020
767	Pataki Dániel	2019	2023
768	Juhász Klaudia	2010	2014
769	Fehér Gabriella	2022	NULL
770	Sípos Gábor	2005	2009
771	Töreki Patrik	2008	2012
772	Vámos Zsuzsanna	2013	2017
773	Somos Béla	2004	2008
774	Juhász Rebeka	2001	2005
775	Szekeres Zsuzsanna	2022	NULL
776	Varga Tamás	2006	2010
777	Somos Dóra	2017	2021
778	Fekete Rozi	2020	NULL
779	Nagy Ferenc	2003	2007
780	Juhász Jenő	2012	2016
781	Nagy Nándor	2006	2010
782	Kis Petra	2009	2013
783	Ötvös Bence	2011	2015
784	Fekete Dóra	2006	2010
785	Fehér Gábor	2018	2022
786	Gál Klaudia	2017	2021
787	Szabó Luca	2011	2015
788	Győri Zsófia	2012	2016
789	Szekeres Ilonka	2004	2008
790	Bencsik Nikolett	2022	NULL
791	Kocsis László	2008	2012
792	Galambos Nándor	2013	2017
793	Kis Krisztina	2003	2007
794	Galambos György	2015	2019
795	Magyar Anna	2014	2018
796	Győri Nikolett	2000	2004
797	Torma Zsuzsanna	2019	2023
798	Sípos István	2001	2005
799	Tóth Viktória	2013	2017
800	Juhász György	2013	2017
801	Győri János	2010	2014
802	Győri Zsófia	2017	2021
803	Németh Dóra	2022	NULL
804	Galambos Rudolf	2014	2018
805	Balogh Petra	2016	2020
806	Bencsik Máté	2004	2008
807	Németh Alajos	2022	NULL
808	Töreki Henrietta	2011	2015
809	Rácz Margit	2012	2016
810	Magyar Luca	2015	2019
811	Szilágyi László	2011	2015
812	Hujber János	2016	2020
813	Szabó Lili	2019	2023
814	Győri Luca	2014	2018
815	Magyar György	2007	2011
816	Balogh Rozi	2013	2017
817	Takács Alajos	2017	2021
818	Kovács Dániel	2003	2007
819	Balogh Balázs	2020	NULL
820	Kovács Gabriella	2007	2011
821	Vámos Aladár	2016	2020
822	Mészáros Aladár	2007	2011
823	Kovács Dániel	2021	NULL
824	Farkas Martin	2000	2004
825	Juhász Alajos	2009	2013
826	Töreki Petra	2003	2007
827	Mészáros Jenő	2011	2015
828	Töreki Lili	2000	2004
829	Somos Lajos	2003	2007
