id	nev	telepules
401	Bencsik Katalin	Göd
402	Torma István	Salgótarján
403	Nagy István	Kőszeg
404	Gál Gyula	Csorna
405	Vámos Nikolett	Pápa
406	Elek Roland	Körmend
407	Töreki Antal	Szeged
408	Halász Zsuzsanna	Tata
409	Kovács Barbara	Lenti
410	Németh Margit	Dunaújváros
411	Molnár Ádám	Zalaegerszeg
412	Fekete Bálint	Békéscsaba
413	Halász Viktória	Kaposvár
414	Fekete Martin	Ózd
415	Pataki Rebeka	Budapest
416	Rácz Jenő	Ajka
417	Szilágyi Nikolett	Ózd
418	Somos Tímea	Zalaegerszeg
419	Kocsis Béla	Szeged
420	Pécsi Balázs	Ózd
421	Kovács Helga	Kőszeg
422	Halász Alexandra	Mór
423	Ötvös Margit	Győr
424	Juhász Adrienn	Budapest
425	Halász Rozi	Pécs
426	Szilágyi Zsuzsanna	Kiskunhalas
427	Halász Ilonka	Budapest
428	Pécsi András	Hatvan
429	Győri Petra	Ózd
430	Sípos Lilla	Kaba
431	Balogh Margit	Kiskunhalas
432	Somos Fanni	Lenti
433	Varga Tímea	Szentes
434	Elek Antal	Pápa
435	Torma Dóra	Szentes
436	Szabó Adrienn	Tata
437	Galambos Attila	Sárvár
438	Győri Zoltán	Debrecen
439	Bencsik Henrietta	Salgótarján
440	Nagy Luca	Mór
441	Sípos Rebeka	Mór
442	Szilágyi András	Kaba
443	Galambos Antal	Sopron
444	Töreki Viktória	Veszprém
445	Galambos Dóra	Szeged
446	Somos Luca	Tata
447	Torma Gabriella	Budapest
448	Győri Henrietta	Sopron
449	Hujber Zoltán	Csorna
450	Somos Tímea	Salgótarján
451	Németh Gábor	Fertőd
452	Szekeres Noémi	Pápa
453	Pécsi Katalin	Debrecen
454	Torma Margit	Lenti
455	Fehér Gergely	Tokaj
456	Hujber Albert	Pécs
457	Torma Balázs	Miskolc
458	Sípos Zoltán	Göd
459	Szekeres József	Veszprém
460	Tóth Eszter	Budapest
461	Varga Ferenc	Göd
462	Pataki Tamás	Hatvan
463	Juhász Béla	Dombóvár
464	Töreki Dóri	Kapuvár
465	Fehér Zoltán	Győr
466	Rácz Antal	Tokaj
467	Töreki Alexandra	Sárvár
468	Sípos Rudolf	Lenti
469	Vámos Adrienn	Bük
470	Kocsis Gyula	Dombóvár
471	Pécsi Réka	Kapuvár
472	Szabó Eszter	Veszprém
473	Kocsis Dóra	Dombóvár
474	Németh Kálmán	Ajka
475	Szabó Tamás	Tokaj
476	Kovács András	Bük
477	Kovács Zoltán	Göd
478	Pécsi Gergely	Fertőd
479	Elek Réka	Kiskunhalas
480	Mészáros Krisztina	Salgótarján
481	Bencsik Máté	Szentes
482	Szabó Bence	Pápa
483	Pataki Tímea	Kőszeg
484	Pécsi Petra	Kaposvár
485	Fehér Jenő	Tatabánya
486	Takács Tamás	Győr
487	Németh Antal	Kőszeg
488	Vámos Noémi	Körmend
489	Magyar Aladár	Kapuvár
490	Juhász Aladár	Makó
491	Somos András	Bük
492	Szakács Anna	Sopron
493	Bencsik Gábor	Lenti
494	Juhász Réka	Zalakaros
495	Pécsi Aladár	Mór
496	Sípos Lilla	Tata
497	Kovács Antal	Kapuvár
498	Fekete Patrik	Pécs
499	Vámos Lilla	Makó
500	Mészáros Nikolett	Ózd
